ID,Cancer
test_1,Benign
test_2,Benign
test_3,Benign
test_4,Benign
test_5,Malignant
test_6,Benign
test_7,Malignant
test_8,Malignant
test_9,Malignant
test_10,Malignant
test_11,Benign
test_12,Benign
test_13,Benign
test_14,Malignant
test_15,Malignant
test_16,Benign
test_17,Malignant
test_18,Malignant
test_19,Malignant
test_20,Malignant
test_21,Malignant
test_22,Benign
test_23,Malignant
test_24,Malignant
test_25,Benign
test_26,Malignant
test_27,Malignant
test_28,Benign
test_29,Malignant
test_30,Benign
test_31,Benign
test_32,Malignant
test_33,Malignant
test_34,Benign
test_35,Malignant
test_36,Benign
test_37,Malignant
test_38,Benign
test_39,Benign
test_40,Malignant
test_41,Benign
test_42,Malignant
test_43,Malignant
test_44,Malignant
test_45,Benign
test_46,Benign
test_47,Benign
test_48,Benign
test_49,Benign
test_50,Benign
test_51,Malignant
test_52,Benign
test_53,Malignant
test_54,Malignant
test_55,Malignant
test_56,Benign
test_57,Malignant
test_58,Benign
test_59,Malignant
test_60,Malignant
test_61,Benign
test_62,Benign
test_63,Malignant
test_64,Malignant
test_65,Benign
test_66,Benign
test_67,Benign
test_68,Benign
test_69,Benign
test_70,Benign
test_71,Benign
test_72,Malignant
test_73,Malignant
test_74,Malignant
test_75,Malignant
test_76,Benign
test_77,Malignant
test_78,Malignant
test_79,Benign
test_80,Malignant
test_81,Malignant
test_82,Benign
test_83,Benign
test_84,Malignant
test_85,Benign
test_86,Benign
test_87,Malignant
test_88,Benign
test_89,Malignant
test_90,Benign
test_91,Malignant
test_92,Malignant
test_93,Malignant
test_94,Malignant
test_95,Benign
test_96,Benign
test_97,Benign
test_98,Benign
test_99,Benign
test_100,Malignant
test_101,Benign
test_102,Malignant
test_103,Malignant
test_104,Malignant
test_105,Benign
test_106,Benign
test_107,Benign
test_108,Malignant
test_109,Benign
test_110,Malignant
test_111,Malignant
test_112,Malignant
test_113,Malignant
test_114,Benign
test_115,Benign
test_116,Benign
test_117,Benign
test_118,Malignant
test_119,Malignant
test_120,Malignant
test_121,Malignant
test_122,Malignant
test_123,Benign
test_124,Benign
test_125,Malignant
test_126,Malignant
test_127,Benign
test_128,Malignant
test_129,Malignant
test_130,Benign
test_131,Malignant
test_132,Malignant
test_133,Benign
test_134,Malignant
test_135,Malignant
test_136,Benign
test_137,Malignant
test_138,Malignant
test_139,Malignant
test_140,Malignant
test_141,Malignant
test_142,Benign
test_143,Benign
test_144,Benign
test_145,Malignant
test_146,Malignant
test_147,Benign
test_148,Benign
test_149,Malignant
test_150,Benign
test_151,Benign
test_152,Malignant
test_153,Benign
test_154,Benign
test_155,Malignant
test_156,Benign
test_157,Benign
test_158,Malignant
test_159,Malignant
test_160,Benign
test_161,Malignant
test_162,Benign
test_163,Benign
test_164,Benign
test_165,Benign
test_166,Malignant
test_167,Benign
test_168,Benign
test_169,Malignant
test_170,Malignant
test_171,Malignant
test_172,Benign
test_173,Malignant
test_174,Benign
test_175,Benign
test_176,Malignant
test_177,Malignant
test_178,Benign
test_179,Malignant
test_180,Benign
test_181,Malignant
test_182,Malignant
test_183,Benign
test_184,Malignant
test_185,Malignant
test_186,Malignant
test_187,Benign
test_188,Malignant
test_189,Malignant
test_190,Malignant
test_191,Malignant
test_192,Malignant
test_193,Benign
test_194,Benign
test_195,Benign
test_196,Malignant
test_197,Malignant
test_198,Benign
test_199,Benign
test_200,Benign
test_201,Malignant
test_202,Benign
test_203,Benign
test_204,Benign
test_205,Benign
test_206,Benign
test_207,Benign
test_208,Benign
test_209,Benign
test_210,Benign
test_211,Malignant
test_212,Benign
test_213,Malignant
test_214,Benign
test_215,Benign
test_216,Malignant
test_217,Benign
test_218,Malignant
test_219,Malignant
test_220,Benign
test_221,Malignant
test_222,Benign
test_223,Malignant
test_224,Malignant
test_225,Benign
test_226,Malignant
test_227,Benign
test_228,Malignant
test_229,Malignant
test_230,Malignant
test_231,Malignant
test_232,Malignant
test_233,Benign
test_234,Malignant
test_235,Malignant
test_236,Malignant
test_237,Benign
test_238,Malignant
test_239,Benign
test_240,Malignant
test_241,Malignant
test_242,Malignant
test_243,Benign
test_244,Benign
test_245,Malignant
test_246,Malignant
test_247,Malignant
test_248,Malignant
test_249,Malignant
test_250,Malignant
test_251,Malignant
test_252,Malignant
test_253,Benign
test_254,Malignant
test_255,Benign
test_256,Benign
test_257,Malignant
test_258,Malignant
test_259,Malignant
test_260,Malignant
test_261,Benign
test_262,Malignant
test_263,Malignant
test_264,Malignant
test_265,Malignant
test_266,Benign
test_267,Malignant
test_268,Malignant
test_269,Malignant
test_270,Benign
test_271,Malignant
test_272,Malignant
test_273,Benign
test_274,Malignant
test_275,Malignant
test_276,Malignant
test_277,Malignant
test_278,Malignant
test_279,Benign
test_280,Malignant
test_281,Malignant
test_282,Benign
test_283,Benign
test_284,Malignant
test_285,Malignant
test_286,Malignant
test_287,Malignant
test_288,Benign
test_289,Benign
test_290,Malignant
test_291,Malignant
test_292,Benign
test_293,Malignant
test_294,Malignant
test_295,Malignant
test_296,Benign
test_297,Malignant
test_298,Benign
test_299,Malignant
test_300,Malignant
test_301,Malignant
test_302,Benign
test_303,Malignant
test_304,Benign
test_305,Malignant
test_306,Benign
test_307,Malignant
test_308,Benign
test_309,Benign
test_310,Malignant
test_311,Benign
test_312,Malignant
test_313,Benign
test_314,Malignant
test_315,Malignant
test_316,Malignant
test_317,Benign
test_318,Malignant
test_319,Malignant
test_320,Malignant
test_321,Malignant
test_322,Benign
test_323,Malignant
test_324,Benign
test_325,Malignant
test_326,Malignant
test_327,Malignant
test_328,Malignant
test_329,Benign
test_330,Malignant
test_331,Malignant
test_332,Malignant
test_333,Benign
test_334,Malignant
test_335,Benign
test_336,Malignant
test_337,Malignant
test_338,Malignant
test_339,Benign
test_340,Benign
test_341,Benign
test_342,Malignant
test_343,Malignant
test_344,Malignant
test_345,Benign
test_346,Benign
test_347,Benign
test_348,Benign
test_349,Benign
test_350,Benign
test_351,Malignant
test_352,Benign
test_353,Malignant
test_354,Malignant
test_355,Malignant
test_356,Malignant
test_357,Benign
test_358,Malignant
test_359,Malignant
test_360,Malignant
test_361,Malignant
test_362,Benign
test_363,Malignant
test_364,Malignant
test_365,Malignant
test_366,Malignant
test_367,Benign
test_368,Benign
test_369,Malignant
test_370,Malignant
test_371,Malignant
test_372,Benign
test_373,Benign
test_374,Malignant
test_375,Benign
test_376,Malignant
test_377,Malignant
test_378,Benign
test_379,Malignant
test_380,Malignant
test_381,Benign
test_382,Benign
test_383,Benign
test_384,Benign
test_385,Benign
test_386,Malignant
test_387,Benign
test_388,Benign
test_389,Malignant
test_390,Benign
test_391,Benign
test_392,Malignant
test_393,Malignant
test_394,Benign
test_395,Benign
test_396,Benign
test_397,Benign
test_398,Benign
test_399,Malignant
test_400,Malignant
test_401,Malignant
test_402,Benign
test_403,Malignant
test_404,Malignant
test_405,Benign
test_406,Malignant
test_407,Benign
test_408,Malignant
test_409,Benign
test_410,Benign
test_411,Malignant
test_412,Benign
test_413,Malignant
test_414,Benign
test_415,Benign
test_416,Malignant
test_417,Malignant
test_418,Malignant
test_419,Benign
test_420,Malignant
test_421,Malignant
test_422,Malignant
test_423,Malignant
test_424,Benign
test_425,Benign
test_426,Benign
test_427,Malignant
test_428,Benign
test_429,Benign
test_430,Malignant
test_431,Benign
test_432,Malignant
test_433,Malignant
test_434,Malignant
test_435,Malignant
test_436,Benign
test_437,Malignant
test_438,Malignant
test_439,Malignant
test_440,Malignant
test_441,Malignant
test_442,Benign
test_443,Malignant
test_444,Benign
test_445,Benign
test_446,Benign
test_447,Benign
test_448,Benign
test_449,Malignant
test_450,Benign
test_451,Benign
test_452,Malignant
test_453,Malignant
test_454,Benign
test_455,Malignant
test_456,Benign
test_457,Malignant
test_458,Malignant
test_459,Malignant
test_460,Benign
test_461,Benign
test_462,Benign
test_463,Malignant
test_464,Malignant
test_465,Benign
test_466,Benign
test_467,Malignant
test_468,Malignant
test_469,Benign
test_470,Malignant
test_471,Benign
test_472,Benign
test_473,Malignant
test_474,Malignant
test_475,Benign
test_476,Benign
test_477,Malignant
test_478,Malignant
test_479,Benign
test_480,Malignant
test_481,Malignant
test_482,Benign
test_483,Benign
test_484,Malignant
test_485,Malignant
test_486,Benign
test_487,Malignant
test_488,Malignant
test_489,Benign
test_490,Malignant
test_491,Benign
test_492,Malignant
test_493,Malignant
test_494,Malignant
test_495,Malignant
test_496,Benign
test_497,Malignant
